日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
2014/1/7,台北一,芒果 金煌,80,80,80,80,24
2014/1/11,台北一,芒果 金煌,70,65,65,66,30
2014/1/14,台北一,芒果 金煌,95,95,95,95,24
2014/1/15,台北一,芒果 金煌,75,69.3,50,66.6,116
2014/1/16,台北一,芒果 金煌,40,40,40,40,12
2014/1/17,台北一,芒果 金煌,60,60,60,60,24
2014/1/22,台北一,芒果 金煌,110,107.5,100,106.5,17
2014/1/23,台北一,芒果 金煌,100,91.7,75,90,42
2014/1/25,台北一,芒果 金煌,95,62.6,30,62.6,35
2014/1/26,台北一,芒果 金煌,120,93.1,65,92.9,84
2014/1/27,台北一,芒果 金煌,120,103.7,90,104.2,19
2014/1/29,台北一,芒果 金煌,142.3,125.8,90.3,122,106
2014/1/30,台北一,芒果 金煌,163.5,126.9,88.2,126.4,87
2014/2/6,台北一,芒果 金煌,120,117.1,110,116.3,24
2014/2/7,台北一,芒果 金煌,138,96.9,64.4,98.6,113
2014/2/8,台北一,芒果 金煌,90,78.6,57.5,76.7,36
2014/2/12,台北一,芒果 金煌,90,90,90,90,12
2014/2/13,台北一,芒果 金煌,127.7,94.6,46.7,91.6,225
2014/2/14,台北一,芒果 金煌,141.3,81.7,68.4,90.9,96
2014/2/19,台北一,芒果 金煌,110,103.3,100,104,30
2014/2/20,台北一,芒果 金煌,130,130,130,130,12
2014/2/21,台北一,芒果 金煌,130,112.9,90,111.7,23
2014/2/22,台北一,芒果 金煌,173.6,150.2,107.9,146.4,84
2014/2/23,台北一,芒果 金煌,170,145.8,90,139.5,19
2014/2/26,台北一,芒果 金煌,176.7,157.4,140,157.8,54
2014/2/27,台北一,芒果 金煌,151.3,121.5,90,121.2,119
2014/2/28,台北一,芒果 金煌,145.6,104.4,72.5,106.3,378
2014/3/1,台北一,芒果 金煌,162.6,72.6,53.5,86.8,253
2014/3/2,台北一,芒果 金煌,125.8,53.8,30,63.4,95
2014/3/5,台北一,芒果 金煌,80,70.5,45,67.3,11
2014/3/6,台北一,芒果 金煌,75,68.2,40.6,64.1,96
2014/3/7,台北一,芒果 金煌,155,112.5,55,109.5,120
2014/3/8,台北一,芒果 金煌,143,82.2,61.3,90.2,207
2014/3/9,台北一,芒果 金煌,135,62.1,28.8,70,120
2014/3/11,台北一,芒果 金煌,80,62.7,50,63.6,22
2014/3/12,台北一,芒果 金煌,75,56.1,40,56.7,18
2014/3/13,台北一,芒果 金煌,164.2,124.5,67.2,121,216
2014/3/14,台北一,芒果 金煌,162.1,84.6,56.7,94.5,468
2014/3/15,台北一,芒果 金煌,148.2,68.9,50.3,81,348
2014/3/16,台北一,芒果 金煌,169.7,158.2,150,158.9,36
2014/3/19,台北一,芒果 金煌,104,66.4,50.9,70.8,73
2014/3/20,台北一,芒果 金煌,145.7,120.7,70.1,115.6,211
2014/3/21,台北一,芒果 金煌,140,132.9,123.8,132.5,48
2014/3/22,台北一,芒果 金煌,172.5,110,56.3,111.8,120
2014/3/23,台北一,芒果 金煌,165.1,108.7,50.2,108.3,138
2014/3/25,台北一,芒果 金煌,132.5,83.6,45.6,85.8,240
2014/3/26,台北一,芒果 金煌,140,133.3,110,130,102
2014/3/27,台北一,芒果 金煌,139.3,120,75.1,114.8,384
2014/3/28,台北一,芒果 金煌,122.4,114.3,77.1,108.5,570
2014/3/29,台北一,芒果 金煌,111.4,96.1,64.7,92.9,777
2014/3/30,台北一,芒果 金煌,88.3,73.1,52.6,72.1,885
2014/4/1,台北一,芒果 金煌,94.7,77.6,53.2,76.1,637
2014/4/2,台北一,芒果 金煌,108,81,51.4,80.5,529
2014/4/3,台北一,芒果 金煌,116.6,90,67.4,90.8,607
2014/4/4,台北一,芒果 金煌,120.1,87.9,67.1,90.2,568
2014/4/8,台北一,芒果 金煌,113.3,69.5,46.7,73.7,828
2014/4/9,台北一,芒果 金煌,125.3,85,54.3,86.9,598
2014/4/10,台北一,芒果 金煌,117.3,89.5,61,89.3,795
2014/4/11,台北一,芒果 金煌,115.6,86.4,56.2,86.2,820
2014/4/12,台北一,芒果 金煌,97.4,76.4,51.3,75.6,"1,545"
2014/4/13,台北一,芒果 金煌,86.9,59.6,40.4,61.2,"1,932"
2014/4/15,台北一,芒果 金煌,79.3,62.8,45.5,62.6,"1,188"
2014/4/16,台北一,芒果 金煌,83.4,65,44.7,64.6,955
2014/4/17,台北一,芒果 金煌,79.7,66.5,38.5,63.5,"1,145"
2014/4/18,台北一,芒果 金煌,89.3,71.8,31.6,67.3,"1,096"
2014/4/19,台北一,芒果 金煌,89.9,65.6,36.4,64.6,"1,958"
2014/4/20,台北一,芒果 金煌,80.7,63.2,38.9,61.9,"1,989"
2014/4/22,台北一,芒果 金煌,79.3,61.3,37.6,60.1,"2,325"
2014/4/23,台北一,芒果 金煌,74.1,58.6,35.8,57.2,981
2014/4/24,台北一,芒果 金煌,90,60.3,33.4,60.8,503
2014/4/25,台北一,芒果 金煌,89.7,60.1,37.2,61.5,"1,349"
2014/4/26,台北一,芒果 金煌,76.6,57.4,35.7,56.9,"2,273"
2014/4/27,台北一,芒果 金煌,81.7,58.9,32.8,58.2,"2,167"
2014/4/29,台北一,芒果 金煌,93.2,54.1,32.5,57.6,"2,387"
2014/4/30,台北一,芒果 金煌,104,71.1,47.1,72.9,871
2014/5/1,台北一,芒果 金煌,98.9,61.2,30,62.5,"1,330"
2014/5/2,台北一,芒果 金煌,84.3,63.3,45.1,63.9,"1,786"
2014/5/3,台北一,芒果 金煌,78.2,56.9,36.8,57.1,"2,935"
2014/5/4,台北一,芒果 金煌,77.8,48.6,27.6,50.2,"2,083"
2014/5/6,台北一,芒果 金煌,79.8,49.5,26.8,51,"2,457"
2014/5/7,台北一,芒果 金煌,72.3,42.3,27.7,45.4,"3,221"
2014/5/8,台北一,芒果 金煌,65.7,41.9,23.4,43,"1,776"
2014/5/9,台北一,芒果 金煌,80,40.3,20.1,44.2,"2,768"
2014/5/10,台北一,芒果 金煌,102.1,54.2,31.2,59.2,"2,836"
2014/5/11,台北一,芒果 金煌,91.7,56.3,31.9,58.5,"4,069"
2014/5/13,台北一,芒果 金煌,83.5,54,27.2,54.5,"3,574"
