sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,11,,良好,0.1,0.06,,12.8,15,,0.5,0.9,0.3,1.5,208,"2024-05-27 12:00",,0,1.1,10,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,29,,良好,0.2,0.14,22.3,14.5,10,4,3.6,5.8,2.2,1,95,"2024-05-27 12:00",,0.2,8.8,20,0,120.65525382,24.39017512,312
新北(樹林),新北市,55,細懸浮微粒,普通,0.9,0.29,37,15.0,21,14,11.7,13.8,2.1,0.2,171,"2024-05-27 12:00",,0.3,17.1,32,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,19,,良好,0.9,0.07,14.8,7.1,17,5,3.7,5.9,2.2,0.4,116,"2024-05-27 12:00",,0.1,6,14,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,19,,良好,0.4,0.14,12.2,6.0,17,,6.3,11.3,5,0.5,119,"2024-05-27 12:00",,0.1,2.9,19,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,18,,良好,1.2,0.22,8.2,4.9,10,3,11.3,18.9,7.6,1.1,94,"2024-05-27 12:00",,0.2,5.3,11,0,120.24535,22.87985556,202
彰化（員林）,彰化縣,40,,良好,1.4,0.15,20.5,13.0,17,10,4.1,6.3,2.2,2,115,"2024-05-27 12:00",,0.2,12.4,25,1,120.56373,23.96117,201
大城,彰化縣,22,,良好,0.7,0.08,20.1,12.8,5,1,3.1,6,2.8,1.3,250,"2024-05-27 12:00",,0.1,6.9,18,1,120.26964167,23.85493056,85
富貴角,新北市,31,,良好,,0.18,56.9,34.4,,4,3.5,3.8,0.3,1.5,93,"2024-05-27 12:00",,0.1,5.3,17,0,121.53656894,25.29681695,84
麥寮,雲林縣,28,,良好,1.2,0.16,18.6,11.5,7,1,2.9,5.6,2.6,4.1,155,"2024-05-27 12:00",,0.2,8.5,17,1,120.251825,23.753506,83
關山,臺東縣,19,,良好,1.1,0.1,17.5,9.1,20,4,2.1,2.9,0.7,0.8,119,"2024-05-27 12:00",,0.1,2.5,19,0,121.161933,23.045083,80
馬公,澎湖縣,17,,良好,0.9,0.19,34.5,18.9,3,0,5.9,8.2,2.3,1.2,172,"2024-05-27 12:00",,0.1,1.7,6,1,119.566158,23.569031,78
金門,金門縣,13,,良好,0.7,0.14,14.5,13.0,4,5,6.3,9.7,3.4,3.3,200,"2024-05-27 12:00",,0.1,3.9,3,0,118.312256,24.432133,77
馬祖,連江縣,27,,良好,0.6,0.11,26.3,23.1,11,8,4.7,6.5,1.8,6,180,"2024-05-27 12:00",,0.1,8.3,15,0,119.93149378,26.15188416,75
埔里,南投縣,51,細懸浮微粒,普通,1,0.13,23,10.3,19,8,2,3.6,1.6,1.8,302,"2024-05-27 12:00",,0.2,15.7,31,1,120.967903,23.968842,72
復興,高雄市,23,,良好,2,0.26,14.2,8.3,,,14.2,21.4,7.2,1,289,"2024-05-27 12:00",,0.4,5.9,19,1,120.312017,22.608711,71
永和,新北市,42,,良好,1.2,0.78,52.6,18.2,29,19,25.2,31.4,6.2,1.2,15,"2024-05-27 12:00",,0.7,12.5,23,1,121.516306,25.017,70
竹山,南投縣,27,,良好,0.9,0.08,15.8,10.6,10,3,3.5,5.4,1.8,1.4,194,"2024-05-27 12:00",,0.1,8.4,20,1,120.677306,23.756389,69
中壢,桃園市,50,,良好,0.7,0.74,18.4,9.1,31,12,21.6,44.4,22.8,0.8,43,"2024-05-27 12:00",,1.1,15.3,30,1,121.221667,24.953278,68
三重,新北市,56,二氧化氮,普通,1,0.71,34.2,11.9,,14,38.8,60.3,21.4,-,-,"2024-05-27 12:00",,0.8,11.7,26,0,121.493806,25.072611,67
冬山,宜蘭縣,24,,良好,0.5,0.33,28.9,11.0,19,4,8.9,12.2,3.2,1.7,91,"2024-05-27 12:00",,0.2,4.6,24,0,121.792928,24.632203,66
宜蘭,宜蘭縣,17,,良好,0.7,0.19,30.5,14.6,7,2,2.7,3.9,1.1,1.9,33,"2024-05-27 12:00",,0.1,5.2,14,1,121.746394,24.747917,65
陽明,臺北市,25,,良好,0.9,0.29,44.1,27.8,23,13,6.5,7.7,1.1,,,"2024-05-27 12:00",,0.1,6.7,13,0,121.529583,25.182722,64
花蓮,花蓮縣,23,,良好,0.2,0.12,21.3,12.4,5,7,1.8,2.9,1.1,1.7,121,"2024-05-27 12:00",,0.1,7,9,0,121.599769,23.971306,63
臺東,臺東縣,19,,良好,0.2,0.2,19.5,11.3,21,3,3.6,6.3,2.7,3,178,"2024-05-27 12:00",,0.1,2.2,19,0,121.15045,22.755358,62
恆春,屏東縣,15,,良好,0,0.1,22.9,16.6,16,7,0.6,1.6,0.9,4.2,198,"2024-05-27 12:00",,0.1,4.3,11,0,120.788928,21.958069,61
潮州,屏東縣,21,,良好,0.8,0.08,20.6,9.2,16,2,1.7,2.1,0.4,2.7,227,"2024-05-27 12:00",,0.1,5.2,21,1,120.561175,22.523108,60
屏東,屏東縣,22,,良好,0.4,0.16,19.8,9.1,17,6,5.4,8.5,3,2.3,333,"2024-05-27 12:00",,0.2,5.7,22,0,120.488033,22.673081,59
小港,高雄市,38,,良好,1.4,0.17,13.6,5.4,13,12,9.2,14.5,5.2,1.1,158,"2024-05-27 12:00",,0.2,11.8,23,2,120.337736,22.565833,58
前鎮,高雄市,22,,良好,2.9,0.26,11.9,7.9,13,4,13.6,22.9,9.3,2,197,"2024-05-27 12:00",,0.3,5.6,20,1,120.30833356,22.6044507,57
前金,高雄市,19,,良好,1.4,0.17,16.9,9.9,21,5,8.5,13,4.4,2.2,181,"2024-05-27 12:00",,0.3,4.5,19,0,120.28676111,22.63390278,56
左營,高雄市,31,,良好,2.1,0.27,18.6,9.4,28,11,11.7,16.4,4.7,2.2,191,"2024-05-27 12:00",,0.3,9.7,20,1,120.292917,22.674861,54
楠梓,高雄市,21,,良好,0.8,0.15,14.5,4.9,15,6,9.2,13.5,4.3,0.5,69,"2024-05-27 12:00",,0.2,6.5,18,1,120.328289,22.733667,53
林園,高雄市,26,,良好,1,0.09,19.8,9.2,,,2.8,4.3,1.5,2.4,165,"2024-05-27 12:00",,0.1,6.9,26,1,120.41175,22.4795,52
大寮,高雄市,31,,良好,1.1,0.15,16.4,6.2,23,10,7.5,10.6,3.1,1,215,"2024-05-27 12:00",,0.2,9.4,27,2,120.425311,22.56413611,51
鳳山,高雄市,23,,良好,2,0.31,19.5,8.4,28,7,11.2,15.6,4.3,1.1,129,"2024-05-27 12:00",,0.3,5.9,23,1,120.357422,22.628126,50
仁武,高雄市,29,,良好,,0.17,,8.6,,8,8.1,10.7,2.5,1,64,"2024-05-27 12:00",,0.2,9,23,1,120.332631,22.689056,49
橋頭,高雄市,19,,良好,1.2,0.11,15.5,6.9,8,3,6.2,9.9,3.6,1,45,"2024-05-27 12:00",,0.1,5.9,13,1,120.305689,22.757506,48
美濃,高雄市,11,,良好,1.1,0.12,15.9,8.5,6,1,2.5,3.7,1.2,0.7,23,"2024-05-27 12:00",,0.1,0.9,11,0,120.530542,22.883583,47
臺南,臺南市,31,,良好,0.8,0.22,14.7,10.3,12,8,8.9,13.3,4.3,0.7,124,"2024-05-27 12:00",,0.2,9.4,14,0,120.21947897,22.98928311,46
安南,臺南市,32,,良好,1,0.24,15.9,9.2,16,9,7.9,13.7,5.7,2.6,120,"2024-05-27 12:00",,0.2,10,20,0,120.2175,23.048197,45
善化,臺南市,22,,良好,0.8,0.07,18.4,10.0,4,5,3.1,5.3,2.1,2.1,130,"2024-05-27 12:00",,0.1,6.7,12,0,120.29740529,23.11337642,44
新營,臺南市,17,,良好,0.1,0.17,17.6,9.6,8,0,4.4,7.5,3,0.5,5,"2024-05-27 12:00",,0.2,1.5,17,0,120.31725,23.305633,43
嘉義,嘉義市,15,,良好,1,0.16,16.8,10.3,10,1,5.2,7.3,2.1,1.9,117,"2024-05-27 12:00",,0.1,4.5,14,1,120.44125148,23.46477865,42
臺西,雲林縣,23,,良好,0.9,0.13,17.8,11.4,,,,,,3.9,149,"2024-05-27 12:00",,0.1,7.2,19,1,120.19933333,23.702175,41
朴子,嘉義縣,29,,良好,0.8,0.18,14.3,7.1,6,5,6.9,10.9,4,1.9,135,"2024-05-27 12:00",,0.2,8.9,15,1,120.2478,23.46538,40
新港,嘉義縣,28,,良好,0.4,0.31,16.5,12.4,9,6,9.7,15.2,5.5,1.4,102,"2024-05-27 12:00",,0.2,8.6,19,0,120.345531,23.554839,39
崙背,雲林縣,31,,良好,1.1,0.13,16,9.5,19,4,2,4.9,2.8,2.5,127,"2024-05-27 12:00",,0.1,9.5,19,1,120.348742,23.757547,38
斗六,雲林縣,21,,良好,0.8,0.19,9.7,11.4,4,1,5.7,8.8,3.1,1.1,146,"2024-05-27 12:00",,0.1,6.6,15,1,120.544994,23.711853,37
南投,南投縣,29,,良好,0.3,0.18,17.6,10.3,4,2,4.8,7.1,2.2,2.4,155,"2024-05-27 12:00",,0.1,8.9,23,0,120.685306,23.913,36
二林,彰化縣,38,,良好,0,0.11,20.6,12.1,9,4,1,2,0.9,3.2,158,"2024-05-27 12:00",,0.1,11.6,26,0,120.409653,23.925175,35
線西,彰化縣,32,,良好,0.5,0.11,23.1,13.0,9,2,2.9,5.1,2.2,4.2,200,"2024-05-27 12:00",,0.2,10,20,1,120.469061,24.131672,34
彰化,彰化縣,26,,良好,0.5,0.1,23.3,14.7,6,3,4,5.9,1.9,3.2,200,"2024-05-27 12:00",,0.1,8.1,15,1,120.541519,24.066,33
西屯,臺中市,40,,良好,1.1,0.11,23.3,10.5,10,5,4.7,6.9,2.2,1.9,186,"2024-05-27 12:00",,0.2,12.3,27,1,120.616917,24.162197,32
忠明,臺中市,32,,良好,0.7,0.18,19.7,12.0,21,0,6.9,10.5,3.5,1.8,177,"2024-05-27 12:00",,0.3,9.9,23,1,120.641092,24.151958,31
大里,臺中市,49,,良好,1.8,0.19,20.1,10.1,15,6,8.2,10.6,2.3,2,140,"2024-05-27 12:00",,0.3,15,27,1,120.67844444,24.09961111,30
沙鹿,臺中市,38,,良好,0.4,0.17,21.6,15.6,11,2,6.2,9.3,3,2.9,172,"2024-05-27 12:00",,0.2,11.6,23,1,120.568794,24.225628,29
豐原,臺中市,26,,良好,1.5,0.15,27.3,21.6,10,6,4.9,6.8,1.9,4.8,190,"2024-05-27 12:00",,0.1,7.9,14,1,120.74252414,24.25699731,28
三義,苗栗縣,22,,良好,0.9,0.15,20.1,20.0,15,7,4.7,6.8,2.1,5.6,187,"2024-05-27 12:00",,0.1,6.7,13,1,120.75956754,24.38248443,27
